id,title,description,marker-size,marker-color,marker-symbol,lon,lat,name,gx_media_links,lid,org,,Source,URL,styleUrl,styleHash,Title,Description
marker-icfesoad5,St. Mary under the bridge,"<img src=""http://smartercleanup.org/scarytrail/5-before_titled.jpg"" alt=""New plants after"" style=""width:256px"">
<br>
<img src=""http://smartercleanup.org/scarytrail/5-after_titled.jpg"" alt=""New plants after"" style=""width:256px"">",medium,#1087bf,park2,-122.320776,47.523134,,,,,,,,,,,
marker-inb4fomp2,SSA Terminals,"<b>SSA Terminals</b>
<img src=""https://www.portseattle.org/Cargo/SeaCargo/Facilities/Container-Terminals/PublishingImages/T46_100823_08.jpg"">

Soundkeeper filed a lawsuit against SSA Terminals for violating the state-issued Industrial Stormwater General Permit, which regulates stormwater discharge from the facility. SSA Terminals has agreed to reduce pollution discharges by installing stormwater treatment plants to remove significant amounts of pollution from stormwater before its discharge to the Duwamish River. <br><br>For more information please check out the following article:<ul><a href=""http://www.pugetsoundkeeper.org/2015/01/20/defending-duwamish-river-puget-soundkeeper-settles-citizen-action-ssa-terminals/"">Defending the Duwamish River: Puget Soundkeeper settles citizen action against SSA Terminals. </a></ul>
",,,industrial,-122.341346,47.575599,,,,,,,,,,,
,upper-green-river,"<h1>Upper Green River</h1>
Check out the underwater footage of Mark's swim through the shallow headwaters of the Green River. 

",,,swimming,-121.38515,47.179183,Video: The Upper Green River,https://scontent.cdninstagram.com/hphotos-xaf1/t51.2885-15/e15/11378604_128934444106060_135245865_n.jpg,,,,,,,,,
marker-ijkz8g250,guff,<h2>Georgetown Urban Food Forest</h2>,large,#f5c272,farm,-122.323987,47.53663,,,,,,,,,,,
,Pigeon Point,"<h2 style=""text-align:left;"">                                    West Duwamish Greenbelt / Pigeon Point<br></h2>
<img src=""http://duwamishalive.org/uploads/3/3/0/4/3304643/2638019_orig.jpg"" alt=West Duwamish Greenbelt / Pidgeon Point photo>
<div class=""paragraph"" style=""text-align:left;display:block;""><font size=""4"">SW Genesee St & 20th Ave SW <br>Seattle, 98106<br><br>RESTORE OUR RIVER!<br> <br> The West Duwamish Greenbelt is a vital part of the Duwamish River  watershed because of the crucial habitat and the pollution-fighting  power the forest provides. <br> <br> EarthCorps  and Nature Consortium are joining forces again for the  Annual Duwamish  Alive Earth Day event at the West Duwamish Greenbelt/Pigeon Point Park.  Join us, the Green Seattle Partnership and a host of partners  and volunteers as we continue to restore the largest contiguous  greenbelt in Seattle.<br> <br> TO SIGN UP or for more information: email <a title="""" target=""_blank"" href=""mailto:volunteer@naturec.org""> volunteer@naturec.org</a><br><span style=""""></span><br></font><font size=""4""><strong>Contact: </strong><br>Lizzie Zemke, Nature Consortium </font><br><font size=""4"">Email: lizzie@naturec.org<br>Phone: 206.923.0853<br></font><br><br><span style=""""></span><span style=""""><span></span></span></div>
<hr style=""clear:both;visibility:hidden;width:100%;"">",,7ec9b1,park2,-122.357794,47.562019,,,141,The Nature Consortium,"Pigeon Point Restoration: planting native vegetation, remove invasive species",A,n/a,,,,
marker-inb49h5s0,Rainier Petroleum,"<b>Rainier Petroleum Corporation</b>
<img src=""http://www.pugetsoundkeeper.org/wp-content/uploads/2016/01/Rainier-Pier-15-Tank-Farm-e1454003908113.jpg"">

<small>Rainier Petroleum’s facility in Pier 15 receives and stores shipment of petroleum products. Stomwater discharge in the area was highly polluted. With an industrial stormwater discharge permit, Rainier Petroleum failed to sample the runoff from their site for many years. The facility is now responsible for sampling twice/quarter and updating its stormwater pollution prevention plant to comply with the permit after a lawsuit brought up by the Puget Soundkeeper.                                                                            <br><br>For more information please check out the following articles: 
<ul>
  <li><a href=""http://www.pugetsoundkeeper.org/2016/01/08/9007/
""> Rainier Petroleum must finally comply with the Clean Water Act </a></li>
  <li><a href=""http://www.pugetsoundkeeper.org/2016/01/28/the-sounder-newsletter-january-2015/
""> Rainier Petroleum must finally comply with the Clean Water Act </a></li>
  <li><a href=""http://www.pugetsoundkeeper.org/programs/monitoring/strategy-citizen-lawsuits/
""> Puget Soundkeeper Citizen Lawsuits </a></li>
</ul>  
</small>
",,,industrial,-122.352976,47.586885,,,,,,,,,,,
marker-ila1z9w80,concord,"  <h1>Concord Elementary School</h1>
  <img src=""https://s3-us-west-2.amazonaws.com/dvyc/images/concord.JPG"" height=""350""> 
  <h2>Goal</h2>
  <p>
    Improvements to the periphery, open field and slopes including raised beds for bird and butterfly habitat, a rain garden along the main entrance, safe access to cross walks at SW corner, trees planted around the open field for shade and corners along 8th ave are improved with traffic calming and art.
  </p>
  <h3>Status</h3>
  <p>
    <ul>
      <li>Concord PTA submitted a Small N Simple grant to the City to fund design 2.1.16</li>
      <li>Concord PTA submitted a Parks and Street Fund grant to the City to fund improved crosswalks 2.8.16</li>
    </ul>
  </p>
  <h4>Progress Detail</h4>
  <p>
    <ul>
    <li>
    Awaiting approval from Seattle Public Schools
      
    </li>  
    </ul>
  </p>
  <h5>
    Next Steps
  </h5>
  <p>
  <ul>
    <li>
    Community outreach if granted design funds
      
    </li>
  </ul>",medium,#1087bf,park2,-122.324502,47.523272,,,,,,,,,,,
marker-ila2jbhu4,cesar-chavez,"<img src=""https://s3-us-west-2.amazonaws.com/dvyc/images/CesarChavez.jpg"">

  <h1> <font color=""red""> </font>Cesar Chavez Park</h1>

<p>
  Cesar chavez park needs some amount of work like cutting back the weeds
  because there is alot of things growing out of the fence. Another thng is pick up the trash because its messy and very unsafe for the community. Another thing is plant more trees and plants to make it prettier and healthier for the community. And finally make it more noticeable for people because its so small that peoplke usally dont see it or notice it. 
</p>
  <h2>
    Goal
  </h2>
  <p>
    
<UL>
  <li>
    Improved site make it more noticable and cleaner for the community 
  </li>
  <li>
    Plant more native plants and trees 
  </li>
</UL>



  </p>
  <h2>
    Status
  </h2>
  <p>
  <li>
    No devolopments have been made to the site 
  </li>
  </p>
  <h2>
    Progress details 
  </h2>
  <p>
  <li>
    <em>Unknown</em>

  </li>
  </p>
  <h2>
    Challenges and Barriers 
  </h2>
  <p>
  <li>
    The site is too small and is not very friendly for the community 
  </li>
  </p>
  <h2>
    Next Step
  </h2>
  <p>
  <li>
    Try to clean up the site and try to get some volunteers to help with the clean up
  </li>",medium,#1087bf,park2,-122.325532,47.526547,,,,,,,,,,,
marker-inv2t2dj3,Jorgensen Forge Early Action Area,"<b>Jorgensen Forge Early Action Area</b>
<img src=""http://www.bntengr.com/wp-content/uploads/2014/03/Duwamish-South-of-Bridge-Activity-700x500.jpg"">

<small> Sediment and upland cleanup project at several former steel-related industrial operations. <br><br>For more information please check out the<a href=""https://yosemite.epa.gov/r10/cleanup.nsf/sites/Jorgensen""> EPA website</a>.
</small>
",,,danger,-122.312507,47.529024,,,,,,,,,,,
marker-inv2h0vl0,South Park Water Quality Facility,"<h1>South Park Water Quality Facility</h1>
<div class=""imageRightWithCaption""><img src=""http://www.seattle.gov/util/cs/groups/public/@spu/@usm/documents/webproductionfile/02_032356.jpg"">
<p>The South Park Water Quality Facility would help to protect the Duwamish River from polluted stormwater runoff.</p>
</div>
<p>The Integrated Plan includes a project to protect the Duwamish River from polluted runoff by building a stormwater treatment facility in South Park, where 7th Avenue South meets the river.</p>
<p>The project will have:</p>
<ul>
    <li>Underground equipment</li>
    <li>Above-ground structures including a small electrical controls building and a concrete structure, about 12 feet tall, 50 feet wide and 110 feet long</li>
    <li>Security fencing and lighting</li>
    <li>Controls that allow staff to operate the facility remotely, reducing how often staff would need to visit it for maintenance</li>
</ul>
<h2>What’s Next?</h2>
<p>SPU is in the process of evaluating stormwater treatment technologies for the facility. The analysis is expected to be complete in 2014. The expected project schedule would include:</p>
<table>
    <tbody>
        <tr>
            <td style=""width: 100px"">2015-2018</td>
            <td>Option Analysis and Pilot Testing</td>
        </tr>
        <tr>
            <td>2018-2020</td>
            <td>Design</td>
        </tr>
        <tr>
            <td>2026</td>
            <td>Construction Completed</td>
        </tr>
    </tbody>
</table>
<p>To ask questions or let us know what you think, contact the project manager:</p>
<p>Sheila Harrison<br>
<a href=""mailto:sheila.harrison@seattle.gov"">sheila.harrison@seattle.gov</a> <br>
(206) 684-5899 </p>
<small>For latest update please checkout <a href=""http://www.seattle.gov/util/EnvironmentConservation/Projects/SewageOverflowPrevention/IntegratedPlan/SouthParkWaterQuality/index.htm""> Seattle Public Utilities webpage</a>.
</small>


    
",,,danger,-122.3255,47.534291,,,,,,,,,,,
